feature_out,importance
cat__ID_E  CN345,0.0
cat__ID_E  CN346,0.0
cat__ID_E  CN347,0.0
cat__ID_E  CN348,0.0
cat__ID_E  CN350,0.0
cat__ID_E  CN351,0.0
cat__ID_E  CN352,0.0
cat__ID_E  CN353,0.0
cat__ID_E  CN354,0.0
cat__ID_E  CN355,0.0
cat__ID_E  CN356,0.0
cat__ID_E  CN357,0.0
cat__ID_E  CN358,0.0
cat__ID_E  CN359,0.0
cat__ID_E  CN361,0.0
cat__ID_E  CN362,0.0
cat__ID_E  CN363,0.0
cat__ID_E  CN364,0.0
cat__ID_E  CN365,0.0
cat__ID_E  CN367,0.0
cat__ID_E  CN368,0.0
cat__ID_E  CN369,0.0
cat__ID_E  CN370,0.0
cat__ID_E  CN371,0.0
cat__ID_E  CN372,0.0
cat__ID_E  CN373,0.0
cat__ID_E  CN374,0.0
cat__ID_E  CN376,0.0
cat__ID_E  CN377,0.0
cat__ID_E  CN378,0.0
cat__ID_E  CN379,0.0
cat__ID_E  CN380,0.0
cat__ID_E  CN382,0.0
cat__ID_E  CN385,0.0
cat__ID_E  CN386,0.0
cat__ID_E  CN390,0.0
cat__ID_E  CN391,0.0
cat__ID_E  CN392,0.0
cat__ID_E  CN393,0.0
cat__ID_E  CN394,0.0
cat__ID_E  CN395,0.0
cat__ID_E  CN397,0.0
cat__ID_E  CN398,0.0
cat__ID_E  CN399,0.0
cat__ID_E  CN400,0.0
cat__ID_E  CN401,0.0
cat__ID_E  CN404,0.0
cat__ID_E  CN407,0.0
cat__ID_E  CN408,0.0
cat__ID_E  CN410,0.0
cat__ID_E  CN413,0.0
cat__ID_E  CN414,0.0
cat__ID_E  CN417,0.0
cat__ID_E  CN418,0.0
cat__ID_E  CN419,0.0
cat__ID_E  CN420,0.0
cat__ID_E  CN421,0.0
cat__ID_E  CN424,0.0
cat__ID_E  CN425,0.0
cat__ID_E  CN426,0.0
cat__ID_E  CN427,0.0
cat__ID_E  CN428,0.0
cat__ID_E  CN429,0.0
cat__ID_E  CN431,0.0
cat__ID_E  CN432,0.0
cat__ID_E  CN433,0.0
cat__ID_E  CN435,0.0
cat__ID_E  CN437,0.0
cat__ID_E  CN439,0.0
cat__ID_E  CN440,0.0
cat__ID_E  CN442,0.0
cat__ID_E  CN443,0.0
cat__ID_E  CN444,0.0
cat__ID_E  CN445,0.0
cat__ID_E  CN446,0.0
cat__ID_E  CN447,0.0
cat__ID_E  CN448,0.0
cat__ID_E  CN449,0.0
cat__ID_E  CN450,0.0
cat__ID_E  CN453,0.0
cat__ID_E  CN454,0.0
cat__ID_E  CN455,0.0
cat__ID_E  CN456,0.0
cat__ID_E  CN457,0.0
cat__ID_E  CN458,0.0
cat__ID_E  CN460,0.0
cat__ID_E  CN461,0.0
cat__ID_E  CN462,0.0
cat__ID_E  CN464,0.0
cat__ID_E  CN465,0.0
cat__ID_E  CN466,0.0
cat__ID_E  CN467,0.0
cat__ID_E  CN469,0.0
cat__ID_E  CN470,0.0
cat__ID_E  CN471,0.0
cat__ID_E  CN472,0.0
cat__ID_E  CN473,0.0
cat__ID_E  CN475,0.0
cat__ID_E  CN476,0.0
cat__ID_E  CN477,0.0
cat__ID_E  CN480,0.0
cat__ID_E  CN481,0.0
cat__ID_E  CN482,0.0
cat__ID_E  CN483,0.0
cat__ID_E  CN485,0.0
cat__ID_E  CN486,0.0
cat__ID_E  CN487,0.0
cat__ID_E  CN488,0.0
cat__ID_E  CN489,0.0
cat__ID_E  CN490,0.0
cat__ID_E  CN491,0.0
cat__ID_E  CN492,0.0
cat__ID_E  CN493,0.0
cat__ID_E  CN494,0.0
cat__ID_E  CN495,0.0
cat__ID_E  CN496,0.0
cat__ID_E  CN497,0.0
cat__ID_E  CN498,0.0
cat__ID_E  CN499,0.0
cat__ID_E  CN501,0.0
cat__ID_E  CN502,0.0
cat__ID_E  CN503,0.0
cat__ID_E  CN504,0.0
cat__ID_E  CN505,0.0
cat__ID_E  CN506,0.0
cat__ID_E  CN508,0.0
cat__ID_E  CN509,0.0
cat__ID_E  CN510,0.0
cat__ID_E  CN512,0.0
cat__ID_E  CN513,0.0
cat__ID_E  CN514,0.0
cat__ID_E  CN515,0.0
cat__ID_E  CN518,0.0
cat__ID_E  CN519,0.0
cat__ID_E  CN520,0.0
cat__ID_E  CN521,0.0
cat__ID_E  CN523,0.0
cat__ID_E  CN525,0.0
cat__ID_E  CN526,0.0
cat__ID_E  CN528,0.0
cat__ID_E  CN529,0.0
cat__ID_E  CN531,0.0
cat__ID_E  CN532,0.0
cat__ID_E  CN533,0.0
cat__ID_E  CN535,0.0
cat__ID_E  CN536,0.0
cat__ID_E  CN538,0.0
cat__ID_E  CN539,0.0
cat__ID_E  CN541,0.0
cat__ID_E  CN542,0.0
cat__ID_E  CN543,0.0
cat__ID_E  CN544,0.0
cat__ID_E  CN545,0.0
cat__ID_E  CN547,0.0
cat__ID_E  CN548,0.0
cat__ID_E  CN549,0.0
cat__ID_E  CN550,0.0
cat__ID_E  CN552,0.0
cat__ID_E  CN553,0.0
cat__ID_E  CN554,0.0
cat__ID_E  CN555,0.0
cat__ID_E  CN556,0.0
cat__ID_E  CN557,0.0
cat__ID_E  CN558,0.0
cat__ID_E  CN559,0.0
cat__ID_E  CN560,0.0
cat__ID_E  CN561,0.0
cat__ID_E  CN562,0.0
cat__ID_E  CN563,0.0
cat__ID_E  CN564,0.0
cat__ID_E  CN565,0.0
cat__ID_E  CN566,0.0
cat__ID_E  CN568,0.0
cat__ID_E  CN569,0.0
cat__ID_E  CN570,0.0
cat__ID_E  CN571,0.0
cat__ID_E  CN573,0.0
cat__ID_E  CN574,0.0
cat__ID_E  CN576,0.0
cat__ID_E  CN577,0.0
cat__ID_E  CN579,0.0
cat__ID_E  CN580,0.0
cat__ID_E  CN581,0.0
cat__ID_E  CN582,0.0
cat__ID_E  CN583,0.0
cat__ID_E  CN584,0.0
cat__ID_E  CN586,0.0
cat__ID_E  CN587,0.0
cat__ID_E  CN588,0.0
cat__ID_E  CN589,0.0
cat__ID_E  CN590,0.0
cat__ID_E  CN591,0.0
cat__ID_E  CN592,0.0
cat__ID_E  CN593,0.0
cat__ID_E  CN595,0.0
cat__ID_E  CN596,0.0
cat__ID_E  CN597,0.0
cat__ID_E  CN598,0.0
cat__ID_E  CN599,0.0
cat__ID_E  CN600,0.0
cat__ID_E  CN601,0.0
cat__ID_E  CN602,0.0
cat__ID_E  CN603,0.0
cat__ID_E  CN604,0.0
cat__ID_E  CN605,0.0
cat__ID_E  CN606,0.0
cat__ID_E  CN607,0.0
cat__ID_E  CN608,0.0
cat__ID_E  CN609,0.0
cat__ID_E  CN610,0.0
cat__ID_E  CN611,0.0
cat__ID_E  CN612,0.0
cat__ID_E  CN613,0.0
cat__ID_E  CN614,0.0
cat__ID_E  CN616,0.0
cat__ID_E  CN618,0.0
cat__ID_E  CN619,0.0
cat__ID_E  CN620,0.0
cat__ID_E  CN621,0.0
cat__ID_E  CN622,0.0
cat__ID_E  CN624,0.0
cat__ID_E  CN625,0.0
cat__ID_E  CN626,0.0
cat__ID_E  CN627,0.0
cat__ID_E  CN629,0.0
cat__ID_E  CN631,0.0
cat__ID_E  CN632,0.0
cat__ID_E  CN633,0.0
cat__ID_E  CN634,0.0
cat__ID_E  CN635,0.0
cat__ID_E  CN636,0.0
cat__ID_E  CN637,0.0
cat__ID_E  CN638,0.0
cat__ID_E  CN639,0.0
cat__ID_E  CN640,0.0
cat__ID_E  CN641,0.0
cat__ID_E  CN642,0.0
cat__ID_E  CN644,0.0
cat__ID_E  CN645,0.0
cat__ID_E  CN646,0.0
cat__ID_E  CN647,0.0
cat__ID_E  CN648,0.0
cat__ID_E  CN650,0.0
cat__ID_E  CN651,0.0
cat__ID_E  CN652,0.0
cat__ID_E  CN653,0.0
cat__ID_E  CN654,0.0
cat__ID_E  CN656,0.0
cat__ID_E  CN657,0.0
cat__ID_E  CN658,0.0
cat__ID_E  CN659,0.0
cat__ID_E  CN660,0.0
cat__ID_E  CN661,0.0
cat__ID_E  CN662,0.0
cat__ID_E  CN663,0.0
cat__ID_E  CN665,0.0
cat__ID_E  CN667,0.0
cat__ID_E  CN668,0.0
cat__ID_E  CN669,0.0
cat__ID_E  CN670,0.0
cat__ID_E  CN671,0.0
cat__ID_E  CN672,0.0
cat__ID_E  CN674,0.0
cat__ID_E  CN675,0.0
cat__ID_E  CN676,0.0
cat__ID_E  CN677,0.0
cat__ID_E  CN679,0.0
cat__ID_E  CN680,0.0
cat__ID_E  CN681,0.0
cat__ID_E  CN682,0.0
cat__ID_E  CN683,0.0
cat__ID_E  CN684,0.0
cat__ID_E  CN686,0.0
cat__ID_E  CN687,0.0
cat__ID_E  CN688,0.0
cat__ID_E  CN689,0.0
cat__ID_E  CN690,0.0
cat__ID_E  CN692,0.0
cat__ID_E  CN693,0.0
cat__ID_E  CN695,0.0
cat__ID_E  CN696,0.0
cat__ID_E  CN697,0.0
cat__ID_E  CN698,0.0
cat__ID_E  CN699,0.0
cat__ID_E  CN701,0.0
cat__ID_E  CN702,0.0
cat__ID_E  CN703,0.0
cat__ID_E  CN704,0.0
cat__ID_E  CN705,0.0
cat__ID_E  CN706,0.0
cat__ID_E  CN708,0.0
cat__ID_E  CN710,0.0
cat__ID_E  CN711,0.0
cat__ID_E  CN712,0.0
cat__ID_E  CN713,0.0
cat__ID_E  CN714,0.0
cat__ID_E  CN715,0.0
cat__ID_E  CN716,0.0
cat__ID_E  CN718,0.0
cat__ID_E  CN720,0.0
cat__ID_E  CN721,0.0
cat__ID_E  CN722,0.0
cat__ID_E  CN723,0.0
cat__ID_E  CN724,0.0
cat__ID_E  CN726,0.0
cat__ID_E  CN727,0.0
cat__ID_E  CN729,0.0
cat__ID_E  CN730,0.0
cat__ID_E  CN731,0.0
cat__ID_E  CN732,0.0
cat__ID_E  CN733,0.0
cat__ID_E  CN735,0.0
cat__ID_E  CN736,0.0
cat__ID_E  CN738,0.0
cat__ID_E  CN739,0.0
cat__ID_E  CN740,0.0
cat__ID_E  CN741,0.0
cat__ID_E  CN742,0.0
cat__ID_E  CN743,0.0
cat__ID_E  CN744,0.0
cat__ID_E  CN745,0.0
cat__ID_E  CN746,0.0
cat__ID_E  CN747,0.0
cat__ID_E  CN748,0.0
cat__ID_E  CN750,0.0
cat__ID_E  CN751,0.0
cat__ID_E  CN752,0.0
cat__ID_E  CN753,0.0
cat__ID_E  CN754,0.0
cat__ID_E  CN755,0.0
cat__ID_E  CN756,0.0
cat__ID_E  CN757,0.0
cat__ID_E  CN759,0.0
cat__ID_E  CN761,0.0
cat__ID_E  CN762,0.0
cat__ID_E  CN763,0.0
cat__ID_E  CN764,0.0
cat__ID_E  CN765,0.0
cat__ID_E  CN766,0.0
cat__ID_E  CN768,0.0
cat__ID_E  CN769,0.0
cat__ID_E  CN770,0.0
cat__ID_E  CN772,0.0
cat__ID_E  CN773,0.0
cat__ID_E  CN774,0.0
cat__ID_E  CN777,0.0
cat__ID_E  CN779,0.0
cat__ID_E  CN781,0.0
cat__ID_E  CN785,0.0
cat__ID_E  CN786,0.0
cat__ID_E  CN787,0.0
cat__ID_E  CN788,0.0
cat__ID_E  CN792,0.0
cat__ID_E  CN793,0.0
cat__ID_E  CN794,0.0
cat__ID_E  CN795,0.0
cat__ID_E  CN796,0.0
cat__ID_E  CN797,0.0
cat__ID_E  CN798,0.0
cat__ID_E  CN799,0.0
cat__ID_E  CN800,0.0
cat__ID_E  CN801,0.0
cat__ID_E  CN802,0.0
cat__ID_E  CN803,0.0
cat__ID_E  CN804,0.0
cat__ID_E  CN805,0.0
cat__ID_E  CN806,0.0
cat__ID_E  CN807,0.0
cat__ID_E  CN808,0.0
cat__ID_E  CN809,0.0
cat__ID_E  CN810,0.0
cat__ID_E  CN813,0.0
cat__ID_E  CN814,0.0
cat__ID_E  CN816,0.0
cat__ID_E  CN817,0.0
cat__ID_E  CN818,0.0
cat__ID_E  CN819,0.0
cat__ID_E  CN820,0.0
cat__ID_E  CN821,0.0
cat__ID_E  CN822,0.0
cat__ID_E  CN823,0.0
cat__ID_E  CN824,0.0
cat__ID_E  CN825,0.0
cat__ID_E  CN826,0.0
cat__ID_E  CN827,0.0
cat__ID_E  CN828,0.0
cat__ID_E  CN829,0.0
cat__ID_E  CN831,0.0
cat__ID_E  CN832,0.0
cat__ID_E  CN833,0.0
cat__ID_E  CN834,0.0
cat__ID_E  CN836,0.0
cat__ID_E  CN838,0.0
cat__ID_E  CN839,0.0
cat__ID_E  CN840,0.0
cat__ID_E  CN841,0.0
cat__ID_E  CN843,0.0
cat__ID_E  CN845,0.0
cat__ID_E  CN846,0.0
cat__ID_E  CN847,0.0
cat__ID_E  CN848,0.0
cat__ID_E  CN849,0.0
cat__ID_E  CN850,0.0
cat__ID_E  CN851,0.0
cat__ID_E  CN853,0.0
cat__ID_E  CN855,0.0
cat__ID_E  CN857,0.0
cat__ID_E  CN858,0.0
cat__ID_E  CN859,0.0
cat__ID_E  CN860,0.0
cat__ID_E  CN861,0.0
cat__ID_E  CN863,0.0
cat__ID_E  CN864,0.0
cat__ID_E  CN865,0.0
cat__ID_E  CN867,0.0
cat__ID_E  CN868,0.0
cat__ID_E  CN869,0.0
cat__ID_E  CN871,0.0
cat__ID_E  CN872,0.0
cat__ID_E  CN873,0.0
cat__ID_E  CN874,0.0
cat__ID_E  CN875,0.0
cat__ID_E  CN877,0.0
cat__ID_E  CN878,0.0
cat__ID_E  CN879,0.0
cat__ID_E  CN881,0.0
cat__ID_E  CN882,0.0
cat__ID_E  CN883,0.0
cat__ID_E  CN884,0.0
cat__ID_E  CN886,0.0
cat__ID_E  CN887,0.0
cat__ID_E  CN888,0.0
cat__ID_E  CN889,0.0
cat__ID_E  CN890,0.0
cat__ID_E  CN891,0.0
cat__ID_E  CN892,0.0
cat__ID_E  CN893,0.0
cat__ID_E  CN894,0.0
cat__ID_E  CN895,0.0
cat__ID_E  CN896,0.0
cat__ID_E  CN897,0.0
cat__ID_E  CN898,0.0
cat__ID_E  CN899,0.0
cat__ID_E  CN901,0.0
cat__ID_E  CN903,0.0
cat__ID_E  CN904,0.0
cat__ID_E  CN905,0.0
cat__ID_E  CN906,0.0
cat__ID_E  CN907,0.0
cat__ID_E  CN908,0.0
cat__ID_E  CN909,0.0
cat__ID_E  CN911,0.0
cat__ID_E  CN912,0.0
cat__ID_E  CN913,0.0
cat__ID_E  CN914,0.0
cat__ID_E  CN915,0.0
cat__ID_E  CN916,0.0
cat__ID_E  CN917,0.0
cat__ID_E  CN918,0.0
cat__ID_E  CN919,0.0
cat__ID_E  CN920,0.0
cat__ID_E  CN923,0.0
cat__ID_E  CN924,0.0
cat__ID_E  CN926,0.0
cat__ID_E  CN927,0.0
cat__ID_E  CN928,0.0
cat__ID_E  CN929,0.0
cat__ID_E  CN930,0.0
cat__ID_E  CN931,0.0
cat__ID_E  CN932,0.0
cat__ID_E  CN933,0.0
cat__ID_E  CN934,0.0
cat__ID_E  CN935,0.0
cat__ID_E  CN936,0.0
cat__ID_E  CN939,0.0
cat__ID_E  CN940,0.0
cat__ID_E  CN941,0.0
cat__ID_E  CN943,0.0
cat__ID_E  CN944,0.0
cat__ID_E  CN945,0.0
cat__ID_E  CN946,0.0
cat__ID_E  CN947,0.0
cat__ID_E  CN948,0.0
cat__ID_E  CN950,0.0
cat__ID_E  CN951,0.0
cat__ID_E  CN952,0.0
cat__ID_E  CN953,0.0
cat__ID_E  CN954,0.0
cat__ID_E  CN955,0.0
cat__ID_E  CN956,0.0
cat__ID_E  CN957,0.0
cat__ID_E  CN959,0.0
cat__ID_E  CN960,0.0
cat__ID_E  CN961,0.0
cat__ID_E  CN962,0.0
cat__ID_E  CN964,0.0
cat__ID_E  CN965,0.0
cat__ID_E  CN966,0.0
cat__ID_E  CN967,0.0
cat__ID_E  CN968,0.0
cat__ID_E  CN969,0.0
cat__ID_E  CN970,0.0
cat__ID_E  CN971,0.0
cat__ID_E  CN973,0.0
cat__ID_E  CN974,0.0
cat__ID_E  CN975,0.0
cat__ID_E  CN977,0.0
cat__ID_E  CN978,0.0
cat__ID_E  CN980,0.0
cat__ID_E  CN981,0.0
cat__ID_E  CN982,0.0
cat__ID_E  CN983,0.0
cat__ID_E  CN984,0.0
cat__ID_E  CN985,0.0
cat__ID_E  CN986,0.0
cat__ID_E  CN987,0.0
cat__ID_E  CN988,0.0
cat__ID_E  CN989,0.0
cat__ID_E  CN992,0.0
cat__ID_E  CN993,0.0
cat__ID_E  CN994,0.0
cat__ID_E  CN997,0.0
cat__ID_E  CN999,0.0
cat__ID_E  CNA02,0.0
cat__ID_E  CNA03,0.0
cat__ID_E  CNA05,0.0
cat__ID_E  CNA06,0.0
cat__ID_E  CNA08,0.0
cat__ID_E  NC001,0.0
cat__ID_E  NC002,0.0
cat__ID_E  NC003,0.0
cat__ID_E  NC004,0.0
cat__ID_E  NC005,0.0
cat__ID_E  NC006,0.0
cat__ID_E  NC008,0.0
cat__ID_E  PN001,0.0
cat__ID_E  PN003,0.0
cat__ID_E  PN004,0.0
cat__ID_E  PN006,0.0
cat__ID_E  PN008,0.0
cat__ID_E  PN009,0.0
cat__ID_E  PN010,0.0
cat__ID_E  RR001,0.0
cat__ID_E  RR002,0.0
cat__ID_E  RR003,0.0
cat__ID_E  TA002,0.0
cat__ID_E  TA003,0.0
cat__ID_E CN0001,0.0
cat__ID_E CN0002,0.0
cat__ID_E CN0023,0.0
cat__ID_E CN0024,0.0
cat__ID_E CN0026,0.0
cat__ID_E CN0027,0.0
cat__ID_E CN0028,0.0
