project_id,date,material,quantity,unit,unit_price_estimated,total_cost_estimated,is_synthetic,source
P.S. 329 - BROOKLYN,2024-10-18,lumber,15.079,board_feet,1.23,18.55,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-09,aggregate,11.733,tons,12.8,150.18,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-19,lumber,14.238,board_feet,1.12,15.95,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-30,rebar,7.492,tons,857.87,6427.16,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-21,rebar,18.572,tons,718.32,13340.64,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-12,lumber,2.963,board_feet,1.14,3.38,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-09-10,steel,5.976,tons,1078.65,6446.01,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-01,cement,11.231,tons,113.17,1271.01,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-12-01,cement,9.872,tons,123.13,1215.54,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-06-11,cement,15.988,tons,128.56,2055.42,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-04-26,cement,34.744,tons,148.81,5170.25,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-09,lumber,4.382,board_feet,1.28,5.61,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-01-23,rebar,5.562,tons,736.94,4098.86,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-02-27,rebar,9.886,tons,616.69,6096.6,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-04-14,lumber,12.091,board_feet,1.35,16.32,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-02-06,aggregate,3.143,tons,18.01,56.61,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-03-14,cement,3.25,tons,118.08,383.76,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-07-27,lumber,20.719,board_feet,1.25,25.9,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-05-30,rebar,14.502,tons,676.44,9809.73,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-03-17,rebar,6.964,tons,602.15,4193.37,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-11-07,steel,9.364,tons,1046.11,9795.77,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-09-17,rebar,6.272,tons,794.6,4983.73,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-04-20,aggregate,6.351,tons,17.11,108.67,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-07-14,cement,2.85,tons,147.85,421.37,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-04-24,rebar,8.169,tons,748.51,6114.58,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-08-02,rebar,4.813,tons,800.25,3851.6,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-09-27,cement,6.574,tons,126.98,834.77,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-06-11,lumber,4.245,board_feet,1.11,4.71,True,synthetic_generator_v1
P.S. 329 - BROOKLYN,2024-10-21,lumber,12.67,board_feet,1.4,17.74,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-06-21,rebar,1.397,tons,797.21,1113.7,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-07,lumber,2.085,board_feet,1.48,3.09,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-07-28,aggregate,4.475,tons,17.3,77.42,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-12-24,steel,5.779,tons,1029.04,5946.82,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-28,rebar,23.479,tons,761.19,17871.98,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-07-08,aggregate,15.782,tons,15.03,237.2,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-08-12,steel,8.399,tons,1105.12,9281.9,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-19,steel,4.375,tons,872.05,3815.22,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-06-23,cement,14.726,tons,129.83,1911.88,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-08-06,lumber,3.466,board_feet,1.17,4.06,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-06-12,steel,7.903,tons,1105.22,8734.55,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-17,aggregate,4.257,tons,15.86,67.52,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-21,rebar,1.465,tons,641.37,939.61,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-27,lumber,13.593,board_feet,1.25,16.99,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-24,steel,0.451,tons,1120.97,505.56,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-24,steel,26.799,tons,1004.92,26930.85,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-03-13,cement,10.217,tons,138.23,1412.3,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-15,rebar,23.507,tons,847.71,19927.12,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-03,rebar,5.45,tons,828.1,4513.15,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-14,lumber,3.998,board_feet,1.12,4.48,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-19,aggregate,3.738,tons,17.74,66.31,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-31,cement,7.154,tons,136.38,975.66,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-03-02,aggregate,14.031,tons,13.27,186.19,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-03-11,lumber,2.595,board_feet,1.37,3.56,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-29,lumber,10.561,board_feet,1.13,11.93,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-08,lumber,10.685,board_feet,1.1,11.75,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-06-20,lumber,10.717,board_feet,1.34,14.36,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-02-07,lumber,9.801,board_feet,1.45,14.21,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-20,aggregate,17.718,tons,15.88,281.36,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-07,rebar,14.321,tons,780.12,11172.1,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-11-16,cement,18.439,tons,113.8,2098.36,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-27,aggregate,0.69,tons,17.98,12.41,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-22,steel,4.55,tons,1057.99,4813.85,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-09-11,lumber,10.804,board_feet,1.08,11.67,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-11-21,cement,23.894,tons,137.97,3296.66,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-01-02,aggregate,1.098,tons,13.15,14.44,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-12,rebar,6.713,tons,712.08,4780.19,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-05-14,rebar,11.152,tons,701.48,7822.9,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-10-25,steel,2.562,tons,1001.5,2565.84,True,synthetic_generator_v1
P.S. 28 - QUEENS,2024-04-02,lumber,3.86,board_feet,1.42,5.48,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-10,cement,13.49,tons,133.44,1800.11,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-09-22,steel,0.793,tons,821.52,651.47,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-01,aggregate,10.169,tons,17.91,182.13,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-27,lumber,12.06,board_feet,1.18,14.23,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-20,rebar,15.947,tons,800.33,12762.86,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-01-07,cement,14.571,tons,127.27,1854.45,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-09-13,aggregate,8.946,tons,17.5,156.56,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-01-22,steel,4.643,tons,992.36,4607.53,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-12-18,steel,7.268,tons,777.16,5648.4,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-04,aggregate,2.127,tons,17.19,36.56,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-05-18,cement,0.708,tons,105.67,74.81,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-09-15,aggregate,21.444,tons,16.0,343.1,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-18,cement,7.181,tons,137.32,986.09,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-07-19,steel,14.801,tons,1047.52,15504.34,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-08-05,rebar,12.366,tons,803.18,9932.12,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-06-03,lumber,0.669,board_feet,1.49,1.0,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-22,aggregate,6.27,tons,15.01,94.11,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-08-07,cement,6.871,tons,115.37,792.71,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-05-25,rebar,15.157,tons,736.85,11168.44,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-07-14,cement,21.212,tons,147.67,3132.38,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-06,cement,4.407,tons,123.71,545.19,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-22,cement,0.908,tons,119.75,108.73,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-15,cement,9.469,tons,132.86,1258.05,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-06-19,steel,15.093,tons,799.34,12064.44,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-27,steel,20.488,tons,1076.34,22052.05,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-09-07,rebar,5.101,tons,767.62,3915.63,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-08-30,rebar,10.62,tons,797.45,8468.92,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-17,steel,15.972,tons,913.27,14586.75,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-06-21,steel,9.32,tons,778.14,7252.26,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-12-18,rebar,11.581,tons,670.08,7760.2,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-04-17,rebar,6.874,tons,817.51,5619.56,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-10-06,aggregate,0.704,tons,14.68,10.33,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-12-28,aggregate,18.506,tons,15.84,293.14,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-02-11,cement,1.513,tons,108.11,163.57,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-01-07,steel,6.908,tons,952.18,6577.66,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-03-03,steel,11.656,tons,805.92,9393.8,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-08-05,aggregate,24.197,tons,13.77,333.19,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-09-25,aggregate,18.093,tons,15.26,276.1,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-01-05,lumber,20.779,board_feet,1.08,22.44,True,synthetic_generator_v1
P.S. 87 - MANHATTAN,2024-05-30,lumber,8.781,board_feet,1.2,10.54,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-11-05,lumber,21.093,board_feet,1.32,27.84,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-08-30,steel,1.7,tons,825.52,1403.38,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-04-28,steel,20.246,tons,817.74,16555.96,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-03-25,aggregate,14.891,tons,18.0,268.04,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-14,cement,7.699,tons,126.56,974.39,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-08-13,aggregate,3.109,tons,16.74,52.04,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-16,lumber,0.105,board_feet,1.29,0.14,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-07-12,aggregate,5.088,tons,16.99,86.45,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-30,lumber,9.716,board_feet,1.06,10.3,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-11-05,steel,2.512,tons,1108.93,2785.63,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-11-20,lumber,0.497,board_feet,1.29,0.64,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-09-07,lumber,13.679,board_feet,1.35,18.47,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-10-12,aggregate,1.487,tons,17.95,26.69,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-08-26,lumber,0.214,board_feet,1.37,0.29,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-04-19,rebar,27.767,tons,858.03,23824.92,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-07-14,lumber,7.985,board_feet,1.11,8.86,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-01-06,steel,6.519,tons,767.02,5000.2,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-07,lumber,9.449,board_feet,1.07,10.11,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-07-07,lumber,3.483,board_feet,1.15,4.01,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-11-27,lumber,5.072,board_feet,1.33,6.75,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-07-22,cement,20.704,tons,115.16,2384.27,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-01-30,rebar,4.682,tons,825.53,3865.13,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-08-29,rebar,2.928,tons,727.57,2130.32,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-11-27,rebar,3.674,tons,821.08,3016.65,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-01-20,lumber,25.951,board_feet,1.09,28.29,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-03-31,steel,8.92,tons,794.82,7089.79,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-03-02,cement,9.861,tons,117.08,1154.53,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-10-05,lumber,10.585,board_feet,1.49,15.77,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-04-09,rebar,4.392,tons,783.16,3439.64,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-11,steel,4.066,tons,1091.06,4436.25,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-10-27,lumber,18.734,board_feet,1.21,22.67,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-12-07,cement,2.665,tons,105.12,280.14,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-09-13,steel,4.548,tons,924.62,4205.17,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-05-21,rebar,0.948,tons,650.63,616.8,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-09-15,aggregate,12.813,tons,17.78,227.82,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-01-02,lumber,19.771,board_feet,1.15,22.74,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-06-28,cement,2.144,tons,135.42,290.34,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-10-16,aggregate,15.978,tons,13.28,212.19,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-02-16,steel,4.279,tons,977.81,4184.05,True,synthetic_generator_v1
P.S. 2 - QUEENS,2024-01-11,steel,1.456,tons,1048.95,1527.27,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-18,lumber,0.107,board_feet,1.36,0.15,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-18,lumber,5.958,board_feet,1.22,7.27,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-06-20,lumber,4.178,board_feet,1.33,5.56,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-02-21,steel,12.41,tons,933.06,11579.27,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-04-05,cement,0.661,tons,123.07,81.35,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-11,aggregate,7.914,tons,17.14,135.65,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-30,steel,3.642,tons,855.93,3117.3,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-10,rebar,3.003,tons,679.05,2039.19,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-04-29,rebar,17.927,tons,625.2,11207.96,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-06,lumber,14.8,board_feet,1.03,15.24,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-09-19,steel,2.214,tons,1097.05,2428.87,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-01,rebar,13.627,tons,805.52,10976.82,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-03-07,lumber,30.506,board_feet,1.4,42.71,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-28,cement,1.3,tons,140.47,182.61,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-22,aggregate,20.971,tons,13.74,288.14,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-01,steel,6.984,tons,875.71,6115.96,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-04-04,steel,10.949,tons,1073.79,11756.93,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-11,cement,4.164,tons,128.66,535.74,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-10,cement,0.81,tons,124.91,101.18,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-06-25,cement,10.082,tons,135.54,1366.51,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-29,aggregate,7.88,tons,17.74,139.79,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-12-27,steel,5.468,tons,811.26,4435.97,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-03-09,aggregate,0.627,tons,17.39,10.9,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-05-24,aggregate,5.237,tons,14.83,77.66,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-12-08,rebar,2.171,tons,602.53,1308.09,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-07,steel,6.174,tons,887.35,5478.5,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-01,rebar,4.638,tons,762.77,3537.73,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-22,cement,1.774,tons,111.02,196.95,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-04-18,lumber,0.78,board_feet,1.23,0.96,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-06-22,aggregate,1.072,tons,14.46,15.5,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-17,aggregate,3.775,tons,12.96,48.92,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-03,steel,12.928,tons,1065.32,13772.46,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-26,cement,18.064,tons,118.62,2142.75,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-02-21,aggregate,5.618,tons,14.66,82.36,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-10-21,rebar,3.62,tons,702.52,2543.12,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-08-20,cement,20.369,tons,121.28,2470.35,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-01-28,lumber,7.306,board_feet,1.22,8.91,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-11-20,cement,9.424,tons,123.61,1164.9,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-07-09,aggregate,6.015,tons,17.02,102.38,True,synthetic_generator_v1
P.S. 52 - STATEN ISLAND,2024-09-30,lumber,9.895,board_feet,1.22,12.07,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-11-22,lumber,3.219,board_feet,1.48,4.76,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-05-11,cement,6.095,tons,142.17,866.53,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-08-09,cement,8.623,tons,149.76,1291.38,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-11-11,rebar,7.622,tons,745.96,5685.71,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-05-04,cement,3.064,tons,138.51,424.39,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-08-11,lumber,13.141,board_feet,1.38,18.13,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-04-05,lumber,2.04,board_feet,1.21,2.47,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-04-02,lumber,5.07,board_feet,1.15,5.83,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-07-27,steel,15.373,tons,811.72,12478.57,True,synthetic_generator_v1
QUEST TO LEARN - MANHATTAN,2024-05-16,aggregate,6.314,tons,16.34,103.17,True,synthetic_generator_v1
