project_id,date,equipment,hours_used,hourly_cost_estimated,cost_estimated,maintenance_flag,is_synthetic,source
I.S. 210 - QUEENS,2024-08-18,crane,1.99,503.54,1002.04,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-08-20,loader,4.55,162.2,738.01,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-10-01,bulldozer,7.58,161.02,1220.53,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-07-17,bulldozer,12.99,172.79,2244.54,False,True,synthetic_generator_v1
I.S. 210 - QUEENS,2024-01-11,loader,8.02,129.12,1035.54,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-09-19,bulldozer,6.1,180.6,1101.66,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-01-13,loader,4.48,142.76,639.56,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-05-14,loader,10.89,167.72,1826.47,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-05-19,loader,2.62,98.26,257.44,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-11-15,excavator,0.56,186.12,104.23,True,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-07-13,crane,12.96,410.79,5323.84,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-12-22,loader,2.08,120.17,249.95,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-08-05,loader,5.37,120.93,649.39,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-04-08,loader,2.39,116.28,277.91,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-08-18,excavator,12.54,197.53,2477.03,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-01-12,crane,11.13,641.87,7144.01,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-02-08,crane,3.26,640.44,2087.83,False,True,synthetic_generator_v1
HOSTOS-LINCOLN ACADEMY OF SCIENCE,2024-02-08,excavator,9.8,185.08,1813.78,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-09-10,crane,5.38,492.4,2649.11,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-11-18,bulldozer,7.15,157.36,1125.12,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-03-03,dump_truck,10.97,117.31,1286.89,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-03-06,bulldozer,11.23,148.1,1663.16,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-01-10,loader,2.38,164.01,390.34,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-06-09,loader,10.88,152.65,1660.83,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-10-22,bulldozer,1.0,179.31,179.31,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-10-20,crane,10.84,612.43,6638.74,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-05-07,loader,10.01,118.57,1186.89,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-07-15,crane,1.02,587.08,598.82,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-09-08,loader,7.96,165.0,1313.4,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-08-18,loader,4.62,151.98,702.15,False,True,synthetic_generator_v1
P.S. 222 - QUEENS,2024-05-21,crane,3.6,542.12,1951.63,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-08-16,dump_truck,13.74,131.16,1802.14,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-07-26,crane,7.43,641.39,4765.53,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-04-15,crane,8.64,627.93,5425.32,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-06-01,crane,17.68,508.28,8986.39,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-11-16,crane,4.15,570.05,2365.71,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-05-09,crane,1.37,464.93,636.95,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-06-19,crane,6.02,549.88,3310.28,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-06-16,loader,17.3,107.9,1866.67,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-10-14,dump_truck,5.43,92.26,500.97,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-05-07,excavator,6.87,196.74,1351.6,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-01-06,bulldozer,5.6,176.55,988.68,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-07-14,dump_truck,10.01,96.98,970.77,False,True,synthetic_generator_v1
P.S. 171 - QUEENS,2024-08-04,bulldozer,5.63,109.94,618.96,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-03-02,crane,11.94,421.4,5031.52,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-03-01,loader,19.23,164.03,3154.3,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-01-06,dump_truck,4.04,87.88,355.04,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-10-28,loader,14.03,141.74,1988.61,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-12-13,loader,15.82,121.31,1919.12,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-08-30,loader,5.14,150.21,772.08,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-08-04,dump_truck,1.08,131.37,141.88,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-01-14,loader,1.4,98.78,138.29,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-02-14,loader,6.45,113.67,733.17,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-11-19,excavator,10.02,160.92,1612.42,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-05-03,dump_truck,8.6,93.66,805.48,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-08-19,crane,6.29,584.12,3674.11,False,True,synthetic_generator_v1
P.S. 157 - BROOKLYN,2024-12-16,crane,4.49,408.47,1834.03,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-08-01,excavator,6.56,170.55,1118.81,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-03-15,excavator,1.04,161.81,168.28,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-06-23,bulldozer,12.35,169.23,2089.99,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-06-06,loader,2.38,158.72,377.75,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-12-21,dump_truck,5.93,128.64,762.84,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-12-04,dump_truck,11.22,115.41,1294.9,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-09-29,dump_truck,12.01,111.13,1334.67,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-11-18,bulldozer,21.43,150.37,3222.43,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-06-14,crane,1.06,569.8,603.99,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-06-05,crane,10.93,523.46,5721.42,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-08-05,crane,3.09,630.49,1948.21,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-03-12,bulldozer,10.98,159.58,1752.19,False,True,synthetic_generator_v1
P.S. 209 - QUEENS,2024-04-14,loader,17.82,137.89,2457.2,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-06-27,crane,4.39,477.96,2098.24,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-22,dump_truck,23.99,112.77,2705.35,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-04-10,excavator,14.05,188.46,2647.86,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-03-22,excavator,5.51,175.39,966.4,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-05-08,excavator,0.56,133.41,74.71,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-11,bulldozer,5.53,171.94,950.83,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-07-28,bulldozer,7.99,172.0,1374.28,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-10-20,crane,9.08,486.47,4417.15,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-08-04,crane,7.75,458.62,3554.3,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-02-04,excavator,20.97,144.21,3024.08,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-30,excavator,8.34,153.2,1277.69,False,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-09-30,crane,4.49,473.69,2126.87,True,True,synthetic_generator_v1
P.S. 206 - BROOKLYN,2024-03-28,bulldozer,4.87,143.35,698.11,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-05-15,loader,6.51,152.66,993.82,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-03-25,loader,15.47,154.44,2389.19,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-07-09,loader,14.33,164.81,2361.73,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-10-12,dump_truck,17.76,94.84,1684.36,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-09-26,crane,3.92,600.33,2353.29,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-10-28,dump_truck,0.54,120.36,64.99,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-01-12,loader,7.71,130.8,1008.47,False,True,synthetic_generator_v1
