Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",Complete,5/27/2024,5/26/2025,5/12/2025,173602,156315.00,83786.00,DSF0001035045
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-SECOND FLOOR STAIRCASE ABATE 6 SQ. FT. MISSING FLOOR TILES - ROOM 217 ABATE 4 SQ. FT. MISSING F,Construction,Complete,3/14/2025,IEH,9/13/2025,IEH,19236.00,625.00,SCA0000074064
1,M019,P.S. 315 - MANHATTAN,SCA IEH,PO18-FOLLOWING AREAS HAVE BEEN IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE  AS REQUIRING RESPO,Construction,In-Progress,6/4/2025,IEH,,IEH,750.00,0.00,SCA0000074344
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,Complete,12/23/2024,DOER,4/25/2025,DOER,141466.00,94435.00,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,0.00,DSF0001086175
1,M020,P.S. 20 - MANHATTAN,Fast Track Projects,IPDVS INSTALLATIONS,Construction,In-Progress,12/27/2024,FTK,,FTK,16708.00,2799.00,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021.00,0.00,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,194643.00,192048.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,623331.00,511359.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,21624110.00,17375556.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1427780,722076.00,574778.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7108.00,1343.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,5372.00,5372.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,264000.00,1128.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,18000.00,4181.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA IEH,PO18-ABATE PIPE INSULATION IN VARIOUS AREAS DUE TO DAMAGE PIPES C82 (SPACE ID: 1600) APPROX. 20 LINE,Construction,In-Progress,6/17/2025,IEH,,IEH,750.00,0.00,SCA0000074369
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.00,0.00,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,265000.00,0.00,DSF0001112760
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.00,4450.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.00,17800.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.00,161379.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234139,264692.00,258564.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTION DUE TO OBS,Construction,In-Progress,8/5/2025,IEH,,IEH,750.00,0.00,SCA0000074570
1,M025,LOWER EAST SIDE PREP HS - M,SCA IEH,"PO18-ABATEMENT  IN THE FOLLOWING LOCATIONS: ROOM 232- FLOOR (SPACE ID# 3232), ROOM 243 - FLOOR  (SPA",Construction,In-Progress,9/2/2025,IEH,,IEH,750.00,0.00,SCA0000074868
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,593902.00,0.00,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Scope,Complete,4/4/2025,8/6/2025,8/19/2025,0,32962.00,4935.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Design,In-Progress,9/2/2025,2/5/2026,,90000,57038.00,6739.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,1320000,1320000.00,0.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA CIP RESOA,RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,90000,90000.00,11636.00,DSF0001114011
1,M034,P.S. 34 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF STORM DRAIN LINE PIPE INSULATION IN BACK OF THE AUDITORIUM 1ST FL: STORAGE ROOM BE,Construction,Complete,4/7/2025,IEH,8/20/2025,IEH,5473.00,230.00,SCA0000074115
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.00,0.00,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.00,0.00,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,103169.00,0.00,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,500000.00,0.00,DSF0001114012
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/6/2024,DOES,11/18/2024,DOES,65832.00,15953.00,DSF0001084623
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,21570,43621.00,43621.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,107850,203915.00,172173.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,8/5/2025,8/4/2027,,2426625,2268497.00,104444.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,8/5/2025,8/4/2027,,150990,26140.00,25166.00,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51.00,51.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,92049,91998.00,202.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1350049,1687561.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,92049,115061.00,344.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.00,0.00,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.00,0.00,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.00,0.00,DSF0001007786
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,DOES,,DOES,574909.00,0.00,DSF0001085733
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,80484.00,80484.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,210342.00,205258.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.00,629890.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.00,93891.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,3/14/2024,7/30/2024,11/18/2024,38009,82056.00,81650.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,In-Progress,1/7/2025,6/9/2025,,179955,179955.00,75791.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,3720987,3720987.00,91429.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,344277,344277.00,41730.00,"DSF0001111940, DSF0001124017"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Scope,Complete,1/3/2025,4/7/2025,5/1/2025,3171,282.00,282.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Design,In-Progress,5/8/2025,9/8/2025,,12686,12686.00,1129.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,Construction,PNS,PNS,PNS,PNS,182354,182354.00,0.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,PATH OF TRAVEL ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,46778,46778.00,2672.00,DSF0001113795
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED IN THE AHERA PERIODIC SURVEAILLANCE AS RESPONSE ACTION DUE TO OBSERV,Construction,In-Progress,8/21/2025,IEH,,IEH,750.00,0.00,SCA0000074825
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1719207.00,1644453.00,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,193000.00,0.00,DSF0001163290
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.00,0.00,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,In-Progress,2/28/2025,DOER,,DOER,3264296.00,0.00,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,174000.00,0.00,DSF0001112773
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/14/2024,DOES,11/21/2024,DOES,65832.00,20150.00,DSF0001084941
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,DOES,,DOES,444473.00,0.00,DSF0001085734
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,12222.00,12222.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,147459.00,144155.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2388132.00,2180680.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,703993.00,623841.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,5/14/2024,9/30/2024,10/31/2024,108090,225361.00,222072.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,Complete,11/15/2024,4/21/2025,8/5/2025,499581,316122.00,302364.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,7878911,7878911.00,66662.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,846463,846463.00,80834.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2363.00,2363.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9450.00,9450.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,204544.00,169404.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,108658.00,105957.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION OVER THE AUDITORIUM ENTRY DOORS LOCATED IN THE 1ST FLOOR THE INS,Construction,Complete,7/24/2024,IEH,9/13/2025,IEH,20623.00,688.00,SCA0000073170
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ABATE 9X9 FLOOR TILES IN RM 506A THAT ARE BROKEN SPACE ID# 6506A ( FOYER) AS PER AHERA BOOK DAT,Construction,Complete,2/28/2025,IEH,4/16/2025,IEH,28260.00,19510.00,SCA0000074007
1,M061,P.S. 361 - MANHATTAN,SCA IEH,"PO18-BASEMENT HALLWAY, 9 L.F. DAMAGED JOINT/PIPE INSULATION ROOM B1 FAN ROOM, 7 L.F. DAMAGED PIPE IN",Construction,In-Progress,4/2/2025,IEH,,IEH,112834.00,1679.00,SCA0000074102
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112775
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001163538
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001086194
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-NEED APPROXIMATELY 8' OF PIPE COVERING ABATED IN THE 2ND FLOOR NON-GENDER RESTROOM DUE TO A LEA,Construction,In-Progress,11/12/2024,IEH,,IEH,976.00,226.00,SCA0000073598
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTION DUE TO OBSERVED D,Construction,In-Progress,8/8/2025,IEH,,IEH,750.00,0.00,SCA0000074630
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,Complete,11/29/2023,FTK,4/4/2025,FTK,108253.00,108253.00,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779.00,0.00,DSF0001033635
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001112776
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY26 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,450000.00,0.00,DSF0001163540
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,6/17/2020,12/4/2020,0,47308.00,47308.00,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,12/4/2020,5/24/2021,1/2/2024,178125,184435.00,125585.00,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,8/8/2025,1/29/2027,,2612500,2475932.00,44632.00,"DSF0000913306, DSF0000913307"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,8/8/2025,1/29/2027,,178125,33861.00,33861.00,"DSF0000913306, DSF0000913307"
1,M064,I.S. 839 - MANHATTAN,SCA IEH,"PO18-24 -  1/2' HOLES, AND 1 -  1.25' CORE DRILLED HOLE THRU WALL",Construction,In-Progress,12/18/2024,IEH,,IEH,645.00,70.00,SCA0000073728
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,In-Progress,3/8/2024,DOER,,DOER,168677.00,0.00,DSF0001086195
1,M064,I.S. 839 - MANHATTAN,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001112777
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,1/7/2021,5/7/2021,6/15/2021,39541,133705.00,82219.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Design,Complete,7/15/2021,12/16/2021,4/21/2022,186049,199027.00,151369.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,1/15/2024,1/3/2026,,3178051,2908343.00,1219080.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,1/15/2024,1/3/2026,,364189,98219.00,97327.00,"DSF0000943937, DSF0000992663, DSF0000992664"
1,M097,BARD COLLEGE HS - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR/REPLACE DAMAGED AREAS CERAMIC TILES IN ROOM #208B AND FLOOR TILES IN ROOM 209,Construction,In-Progress,8/15/2025,IEH,,IEH,750.00,0.00,SCA0000074689
1,M097,BARD COLLEGE HS - MANHATTAN,Fast Track Projects,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,FTK,FTK,FTK,FTK,720000.00,0.00,DSF0001112793
1,M097,BARD COLLEGE HS - MANHATTAN,Fast Track Projects,FY18 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,1/10/2019,FTK,,FTK,54508.00,54508.00,DSF0000866416
1,M097,BARD COLLEGE HS - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.00,0.00,DSF0000961304
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,223957.00,0.00,DSF0000913084
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,DOMESTIC WATER HEATER,Construction,In-Progress,3/1/2022,DOES,,DOES,90361.00,376.00,DSF0000961169
1,M097,BARD COLLEGE HS - MANHATTAN,DOE - Skilled Trades,SCHOOLYARD RESURFACING,Construction,In-Progress,8/14/2023,DOES,,DOES,567979.00,0.00,DSF0001034279
