project_id,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,DSF Number(s),source_file,synthetic_flag,Reported,Fiscal_Year,Council_District,Sponsor,Title,Description,ID,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020), (),date,equipment,hours_used,hourly_cost_estimated,maintenance_flag,is_synthetic,source,the_geom,Job_Number,Job_Type,ResidFlag,NonresFlag,Job_Status,CompltYear,PermitYear,ClassAInit,ClassAProp,ClassANet,HotelInit,HotelProp,OtherBInit,OtherBProp,Units_CO,Boro,AddressNum,AddressSt,Occ_Init,Occ_Prop,Bldg_Class,Job_Desc,DateFiled,DatePermit,DateLstUpd,DateComplt,ZoningDst1,ZoningDst2,ZoningDst3,SpeclDst1,SpeclDst2,Landmark,FloorsInit,FloorsProp,Enlargemnt,Ownership,CenBlock20,CenTract20,BCTCB2020,BCT2020,NTA2020,NTAName20,CDTA2020,CDTAName20,CommntyDst,CouncilDst,SchSubDist,SchCommnty,SchElmntry,SchMiddle,FireCmpany,FireBattln,FireDivsn,PolicePcnt,PL_FIRM07,PL_PFIRM15,GeomSource,DCPEdited,Version,material,quantity,unit,unit_price_estimated,total_cost_estimated,Country Code,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5,INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION,Unnamed: 4,planned_start,planned_end,actual_start,actual_end,actual_start_imputed,imputation_rule,planned_duration_days,elapsed_days,delay_days,schedule_slippage_pct,label_confidence
p.s. 138 - brooklyn,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-06-24,loader,6.09,108.36,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,cement,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 239 - queens,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-05-15,loader,6.51,152.66,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,steel,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 28 - queens,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-05-29,loader,5.76,139.04,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,rebar,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
quest to learn - manhattan,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-01-12,dump_truck,15.17,107.47,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,lumber,8.985358499999998,board_feet,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
august martin hs - queens,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-08-06,excavator,0.73,206.83,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,aggregate,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 28 - bronx,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-05-13,dump_truck,14.07,108.63,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,lumber,8.985358499999998,board_feet,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 279 - brooklyn,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-01-21,loader,4.46,159.24,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,rebar,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
i.s. 109 - queens,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-05-27,bulldozer,13.89,168.61,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,steel,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
new millennium bronx academy of the arts - bronx,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-01-16,loader,8.89,108.52,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,cement,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 31 - staten island,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-04-16,excavator,12.27,160.57,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,steel,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
boys & girls hs - brooklyn,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-09-27,loader,13.7,125.21,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,aggregate,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 84 - brooklyn,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-05-12,loader,8.8,130.53,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,cement,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
p.s. 2 - queens,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-04-21,bulldozer,10.38,177.57,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,lumber,8.985358499999998,board_feet,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
city-as-school - manhattan,17.42242264261622,,,,,,,,,,148170.0,,equipment_synthetic.csv,True,2022.277835768963,,25.0,,,,,43964.9335154827,,,,0.0,0.7814207650273224,333.0,,1452.0,25.0,10643.288725939505,40.697037908991796,-73.93268326748634,230.39596700274979,19.904674610449128,268.0,,,2024-04-24,dump_truck,3.91,82.05,false,true,synthetic_generator_v1,,345812433.36122185,,,,,2016-07-01,2014-07-01,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.270661351285282,357.0,62.0,,,,,,,,,,81007.0,,125.0,,,2.0,3.0,,,360611254949874.9,36061125494.775116,33140739922.67674,3314073.779892429,,,,,334.2086169932674,29.852521909203745,,20.18809004400647,369.6785717644182,179.20837878502914,,35.64589837138451,10.400534095610636,82.63419152217249,1.0,1.0,,,,rebar,8.985358499999998,tons,359.23306,696.0550000000001,,,,,,,,,,,,2014-07-01,2014-07-01,2016-07-01,2016-07-01,True,RuleA,0.0,0.0,0.0,,low
